0,1,2,3
0.9961627,0.0012880691,0.0012827389,0.0012664797
0.99780536,0.0007376923,0.0007332422,0.0007236918
0.9985605,0.00048277405,0.00048306052,0.00047371327
0.0006700604,0.99799246,0.0006727876,0.0006646798
0.0010278618,0.0010307264,0.99695176,0.0009897401
0.0005004443,0.99850404,0.0005047809,0.00049068686
0.0006959132,0.00070328504,0.9979146,0.0006862186
0.9975065,0.0008411827,0.00083536486,0.00081690255
0.00088484224,0.00089087384,0.00088972156,0.9973346
0.001386239,0.001383716,0.0013761286,0.9958539
0.00072922313,0.99784595,0.00072278565,0.0007020085
0.0006407234,0.0006478139,0.99808216,0.0006292599
0.00058273884,0.0005880348,0.9982531,0.0005761538
0.0027587665,0.0028005387,0.99177253,0.0026681935
0.0027958602,0.0027398586,0.9917275,0.002736775
0.59093124,0.40287346,0.003171704,0.0030235746
0.00066277897,0.9980163,0.0006645076,0.00065645366
0.0009560107,0.00095546956,0.9971327,0.0009557867
0.003015278,0.9909303,0.0031102903,0.0029441325
